domain,title,abstract,verified methods list,inital masked extraction,final masked extraction,leakage detected
Psychology,AI-Driven Clinical Decision Support Systems: An Ongoing Pursuit of Potential,"Clinical Decision Support Systems (CDSS) are essential tools in contemporary healthcare, enhancing clinicians' decisions and patient outcomes. The integration of artificial intelligence (AI) is now revolutionizing CDSS even further. This review delves into AI technologies transforming CDSS, their applications in healthcare decision-making, associated challenges, and the potential trajectory toward fully realizing AI-CDSS's potential. The review begins by laying the groundwork with a definition of CDSS and its function within the healthcare field. It then highlights the increasingly significant role that AI is playing in enhancing CDSS effectiveness and efficiency, underlining its evolving prominence in shaping healthcare practices. It examines the integration of AI technologies into CDSS, including machine learning algorithms like neural networks and decision trees, natural language processing, and deep learning. It also addresses the challenges associated with AI integration, such as interpretability and bias. We then shift to AI applications within CDSS, with real-life examples of AI-driven diagnostics, personalized treatment recommendations, risk prediction, early intervention, and AI-assisted clinical documentation. The review emphasizes user-centered design in AI-CDSS integration, addressing usability, trust, workflow, and ethical and legal considerations. It acknowledges prevailing obstacles and suggests strategies for successful AI-CDSS adoption, highlighting the need for workflow alignment and interdisciplinary collaboration. The review concludes by summarizing key findings, underscoring AI's transformative potential in CDSS, and advocating for continued research and innovation. It emphasizes the need for collaborative efforts to realize a future where AI-powered CDSS optimizes healthcare delivery and improves patient outcomes.","['neural networks', 'decision trees', 'deep learning']","The study addresses the critical role of clinical decision support systems (CDSS) in improving healthcare delivery by enhancing clinicians' decisions and patient outcomes. It highlights the evolving challenges and opportunities in integrating advanced technologies into healthcare decision-making processes, emphasizing the importance of usability, trust, workflow alignment, and ethical considerations. The primary objective of the study is to review the current state and applications of these technologies within CDSS, identify associated challenges such as interpretability and bias, and propose strategies for successful adoption. The study aims to underscore the transformative potential of these systems in optimizing healthcare practices and improving patient outcomes through continued research and interdisciplinary collaboration.","The study addresses the critical role of clinical decision support systems (CDSS) in improving healthcare delivery by enhancing clinicians' decisions and patient outcomes. It highlights the evolving challenges and opportunities in integrating technologies into healthcare decision-making processes, emphasizing the importance of usability, trust, workflow alignment, and ethical considerations. The primary objective of the study is to review the current state and applications of these technologies within CDSS, identify associated challenges such as interpretability and bias, and propose strategies for successful adoption. The study aims to underscore the transformative potential of these systems in optimizing healthcare practices and improving patient outcomes through continued research and interdisciplinary collaboration.",True
Psychology,Hallucination Rates and Reference Accuracy of ChatGPT and Bard for Systematic Reviews: Comparative Analysis,"Background Large language models (LLMs) have raised both interest and concern in the academic community. They offer the potential for automating literature search and synthesis for systematic reviews but raise concerns regarding their reliability, as the tendency to generate unsupported (hallucinated) content persist. Objective The aim of the study is to assess the performance of LLMs such as ChatGPT and Bard (subsequently rebranded Gemini) to produce references in the context of scientific writing. Methods The performance of ChatGPT and Bard in replicating the results of human-conducted systematic reviews was assessed. Using systematic reviews pertaining to shoulder rotator cuff pathology, these LLMs were tested by providing the same inclusion criteria and comparing the results with original systematic review references, serving as gold standards. The study used 3 key performance metrics: recall, precision, and F1-score, alongside the hallucination rate. Papers were considered “hallucinated” if any 2 of the following information were wrong: title, first author, or year of publication. Results In total, 11 systematic reviews across 4 fields yielded 33 prompts to LLMs (3 LLMs×11 reviews), with 471 references analyzed. Precision rates for GPT-3.5, GPT-4, and Bard were 9.4% (13/139), 13.4% (16/119), and 0% (0/104) respectively (P&lt;.001). Recall rates were 11.9% (13/109) for GPT-3.5 and 13.7% (15/109) for GPT-4, with Bard failing to retrieve any relevant papers (P&lt;.001). Hallucination rates stood at 39.6% (55/139) for GPT-3.5, 28.6% (34/119) for GPT-4, and 91.4% (95/104) for Bard (P&lt;.001). Further analysis of nonhallucinated papers retrieved by GPT models revealed significant differences in identifying various criteria, such as randomized studies, participant criteria, and intervention criteria. The study also noted the geographical and open-access biases in the papers retrieved by the LLMs. Conclusions Given their current performance, it is not recommended for LLMs to be deployed as the primary or exclusive tool for conducting systematic reviews. Any references generated by such models warrant thorough validation by researchers. The high occurrence of hallucinations in LLMs highlights the necessity for refining their training and functionality before confidently using them for rigorous academic purposes.","['GPT-3.5', 'GPT-4']","The research idea centers on the growing interest and concern within the academic community regarding the reliability of automated tools in supporting scientific literature synthesis, particularly for systematic reviews. There is a motivation to explore whether these tools can effectively replicate human-conducted systematic reviews without generating unsupported or inaccurate content. The study’s primary objective is to evaluate the ability of these tools to produce accurate and reliable references in the context of scientific writing, specifically assessing their performance in replicating the results of systematic reviews related to shoulder rotator cuff pathology. The aim is to determine the extent to which these tools can retrieve relevant papers accurately and to identify the prevalence of errors or hallucinated content in their outputs.","The research idea centers on the growing interest and concern within the academic community regarding the reliability of tools in supporting scientific literature synthesis, particularly for systematic reviews. There is a motivation to explore whether these tools can effectively replicate human-conducted systematic reviews without generating unsupported or inaccurate content. The study's primary objective is to evaluate the ability of these tools to produce accurate and reliable references in the context of scientific writing, specifically assessing their performance in replicating the results of systematic reviews related to shoulder rotator cuff pathology. The aim is to determine the extent to which these tools can retrieve relevant papers accurately and to identify the prevalence of errors or fabricated content in their outputs.",True
Psychology,Detecting and Preventing Hallucinations in Large Vision Language Models,"Instruction tuned Large Vision Language Models (LVLMs) have significantly advanced in generalizing across a diverse set of multi-modal tasks, especially for Visual Question Answering (VQA). However, generating detailed responses that are visually grounded is still a challenging task for these models. We find that even the current state-of-the-art LVLMs (InstructBLIP) still contain a staggering 30 percent of the hallucinatory text in the form of non-existent objects, unfaithful descriptions, and inaccurate relationships. To address this, we introduce M-HalDetect, a Multimodal Hallucination Detection Dataset that can be used to train and benchmark models for hallucination detection and prevention. M-HalDetect consists of 16k fine-grained annotations on VQA examples, making it the first comprehensive multi-modal hallucination detection dataset for detailed image descriptions. Unlike previous work that only consider object hallucination, we additionally annotate both entity descriptions and relationships that are unfaithful. To demonstrate the potential of this dataset for hallucination prevention, we optimize InstructBLIP through our novel Fine-grained Direct Preference Optimization (FDPO). We also train fine-grained multi-modal reward models from InstructBLIP and evaluate their effectiveness with best-of-n rejection sampling (RS). We perform human evaluation on both FDPO and rejection sampling, and find that they reduce hallucination rates in InstructBLIP by 41% and 55% respectively. We also find that our reward model generalizes to other multi-modal models, reducing hallucinations in LLaVA and mPLUG-OWL by 15% and 57% respectively, and has strong correlation with human evaluated accuracy scores. The dataset is available at https://github.com/hendryx-scale/mhal-detect.",['Instruction tuned Large Vision Language Models (LVLMs)'],"The research idea centers on the challenge of generating detailed and visually accurate responses in visual question answering tasks, highlighting that even advanced models frequently produce hallucinated content such as non-existent objects, unfaithful descriptions, and inaccurate relationships. This issue of hallucination undermines the reliability and fidelity of image-based descriptions, indicating a significant problem in ensuring that responses are truly grounded in the visual input. The primary objective of the study is to create a comprehensive dataset with fine-grained annotations that identify hallucinations in visual question answering, including both entity descriptions and relationships, to facilitate the detection and reduction of these inaccuracies. The study aims to use this dataset to improve the accuracy and faithfulness of detailed image descriptions by reducing hallucination rates, thereby enhancing the quality of responses in visual question answering tasks.","The research idea centers on the challenge of generating detailed and visually accurate responses in visual question answering tasks, highlighting that even current systems frequently produce hallucinated content such as non-existent objects, unfaithful descriptions, and inaccurate relationships. This issue of hallucination undermines the reliability and fidelity of image-based descriptions, indicating a significant problem in ensuring that responses are truly grounded in the visual input. The primary objective of the study is to create a comprehensive dataset with fine-grained annotations that identify hallucinations in visual question answering, including both entity descriptions and relationships, to facilitate the detection and reduction of these inaccuracies. The study aims to use this dataset to improve the accuracy and faithfulness of detailed image descriptions by reducing hallucination rates, thereby enhancing the quality of responses in visual question answering tasks.",True
Psychology,Sentiment Analysis in the Age of Generative AI,"Abstract In the rapidly advancing age of Generative AI, Large Language Models (LLMs) such as ChatGPT stand at the forefront of disrupting marketing practice and research. This paper presents a comprehensive exploration of LLMs’ proficiency in sentiment analysis, a core task in marketing research for understanding consumer emotions, opinions, and perceptions. We benchmark the performance of three state-of-the-art LLMs, i.e., GPT-3.5, GPT-4, and Llama 2, against established, high-performing transfer learning models. Despite their zero-shot nature, our research reveals that LLMs can not only compete with but in some cases also surpass traditional transfer learning methods in terms of sentiment classification accuracy. We investigate the influence of textual data characteristics and analytical procedures on classification accuracy, shedding light on how data origin, text complexity, and prompting techniques impact LLM performance. We find that linguistic features such as the presence of lengthy, content-laden words improve classification performance, while other features such as single-sentence reviews and less structured social media text documents reduce performance. Further, we explore the explainability of sentiment classifications generated by LLMs. The findings indicate that LLMs, especially Llama 2, offer remarkable classification explanations, highlighting their advanced human-like reasoning capabilities. Collectively, this paper enriches the current understanding of sentiment analysis, providing valuable insights and guidance for the selection of suitable methods by marketing researchers and practitioners in the age of Generative AI.","['GPT-3.5', 'GPT-4', 'Llama 2', 'transfer learning models']","The research idea centers on understanding how advancements in language processing technologies impact the ability to analyze consumer emotions, opinions, and perceptions through sentiment analysis, which is a fundamental task in marketing research. The study addresses the challenge of accurately interpreting diverse textual data from various sources, considering factors such as text complexity and linguistic features that influence classification performance. The primary objective of the study is to evaluate the effectiveness of different approaches in sentiment classification accuracy and to examine how characteristics of textual data affect this accuracy. Additionally, the study aims to explore the clarity and quality of explanations provided for sentiment classifications, thereby enhancing the understanding of how these methods can support marketing researchers and practitioners in selecting appropriate tools for sentiment analysis.","The research idea centers on understanding how advancements in language processing technologies impact the ability to analyze consumer emotions, opinions, and perceptions through sentiment analysis, which is a fundamental task in marketing research. The study addresses the challenge of accurately interpreting diverse textual data from various sources, considering factors such as text complexity and linguistic features that influence interpretation performance. The primary objective of the study is to evaluate the effectiveness of different approaches in sentiment categorization accuracy and to examine how characteristics of textual data affect this accuracy. Additionally, the study aims to explore the clarity and quality of explanations provided for sentiment interpretations, thereby enhancing the understanding of how these methods can support marketing researchers and practitioners in selecting appropriate tools for sentiment analysis.",True
Psychology,Investigating Spatial Effects through Machine Learning and Leveraging Explainable AI for Child Malnutrition in Pakistan,"While socioeconomic gradients in regional health inequalities are firmly established, the synergistic interactions between socioeconomic deprivation and climate vulnerability within convenient proximity and neighbourhood locations with health disparities remain poorly explored and thus require deep understanding within a regional context. Furthermore, disregarding the importance of spatial spillover effects and nonlinear effects of covariates on childhood stunting are inevitable in dealing with an enduring issue of regional health inequalities. The present study aims to investigate the spatial inequalities in childhood stunting at the district level in Pakistan and validate the importance of spatial lag in predicting childhood stunting. Furthermore, it examines the presence of any nonlinear relationships among the selected independent features with childhood stunting. The study utilized data related to socioeconomic features from MICS 2017–2018 and climatic data from Integrated Contextual Analysis. A multi-model approach was employed to address the research questions, which included Ordinary Least Squares Regression (OLS), various Spatial Models, Machine Learning Algorithms and Explainable Artificial Intelligence methods. Firstly, OLS was used to analyse and test the linear relationships among selected variables. Secondly, Spatial Durbin Error Model (SDEM) was used to detect and capture the impact of spatial spillover on childhood stunting. Third, XGBoost and Random Forest machine learning algorithms were employed to examine and validate the importance of the spatial lag component. Finally, EXAI methods such as SHapley were utilized to identify potential nonlinear relationships. The study found a clear pattern of spatial clustering and geographical disparities in childhood stunting, with multidimensional poverty, high climate vulnerability and early marriage worsening childhood stunting. In contrast, low climate vulnerability, high exposure to mass media and high women’s literacy were found to reduce childhood stunting. The use of machine learning algorithms, specifically XGBoost and Random Forest, highlighted the significant role played by the average value in the neighbourhood in predicting childhood stunting in nearby districts, confirming that the spatial spillover effect is not bounded by geographical boundaries. Furthermore, EXAI methods such as partial dependency plot reveal the existence of a nonlinear relationship between multidimensional poverty and childhood stunting. The study’s findings provide valuable insights into the spatial distribution of childhood stunting in Pakistan, emphasizing the importance of considering spatial effects in predicting childhood stunting. Individual and household-level factors such as exposure to mass media and women’s literacy have shown positive implications for childhood stunting. It further provides a justification for the usage of EXAI methods to draw better insights and propose customised intervention policies accordingly.","['XGBoost', 'Random Forest', 'partial dependency plot']","The research idea centers on addressing the insufficient understanding of how socioeconomic deprivation and climate vulnerability interact within local neighborhoods to influence regional health disparities, specifically childhood stunting. Despite established socioeconomic gradients in health inequalities, the combined effects of these factors and the role of spatial spillover and nonlinear relationships remain underexplored in a regional context. The study aims to investigate spatial inequalities in childhood stunting at the district level in Pakistan, emphasizing the importance of spatial influences and complex relationships among contributing factors. The primary objective of the study is to examine the spatial distribution and clustering of childhood stunting, validate the significance of spatial spillover effects, and explore nonlinear associations between socioeconomic and climatic variables with childhood stunting. It seeks to provide insights into how multidimensional poverty, climate vulnerability, early marriage, exposure to mass media, and women’s literacy relate to childhood stunting, thereby informing targeted intervention policies.","The research idea centers on addressing the insufficient understanding of how socioeconomic deprivation and climate vulnerability interact within local neighborhoods to influence regional health disparities, specifically childhood stunting. Despite established socioeconomic gradients in health inequalities, the combined effects of these factors and the role of spatial spillover and nonlinear relationships remain underexplored in a regional context. The study aims to investigate spatial inequalities in childhood stunting at the district level in Pakistan, emphasizing the importance of spatial influences and complex relationships among contributing factors. The primary objective of the study is to examine the spatial distribution and clustering of childhood stunting, validate the significance of spatial spillover effects, and explore nonlinear associations between socioeconomic and climatic variables with childhood stunting. It seeks to provide insights into how multidimensional poverty, climate vulnerability, early marriage, exposure to mass media, and women's literacy relate to childhood stunting, thereby informing targeted intervention policies.",True
Psychology,Multiple Classification of Brain MRI Autism Spectrum Disorder by Age and Gender Using Deep Learning,"Abstract The fact that the rapid and definitive diagnosis of autism cannot be made today and that autism cannot be treated provides an impetus to look into novel technological solutions. To contribute to the resolution of this problem through multiple classifications by considering age and gender factors, in this study, two quadruple and one octal classifications were performed using a deep learning (DL) approach. Gender in one of the four classifications and age groups in the other were considered. In the octal classification, classes were created considering gender and age groups. In addition to the diagnosis of ASD (Autism Spectrum Disorders), another goal of this study is to find out the contribution of gender and age factors to the diagnosis of ASD by making multiple classifications based on age and gender for the first time. Brain structural MRI (sMRI) scans of participators with ASD and TD (Typical Development) were pre-processed in the system originally designed for this purpose. Using the Canny Edge Detection (CED) algorithm, the sMRI image data was cropped in the data pre-processing stage, and the data set was enlarged five times with the data augmentation (DA) techniques. The most optimal convolutional neural network (CNN) models were developed using the grid search optimization (GSO) algorism. The proposed DL prediction system was tested with the five-fold cross-validation technique. Three CNN models were designed to be used in the system. The first of these models is the quadruple classification model created by taking gender into account (model 1), the second is the quadruple classification model created by taking into account age (model 2), and the third is the eightfold classification model created by taking into account both gender and age (model 3). ). The accuracy rates obtained for all three designed models are 80.94, 85.42 and 67.94, respectively. These obtained accuracy rates were compared with pre-trained models by using the transfer learning approach. As a result, it was revealed that age and gender factors were effective in the diagnosis of ASD with the system developed for ASD multiple classifications, and higher accuracy rates were achieved compared to pre-trained models.","['convolutional neural network (CNN) models', 'transfer learning approach']","The research idea centers on the challenge that autism cannot currently be diagnosed rapidly and definitively, nor can it be treated effectively, which motivates the exploration of new approaches to improve diagnosis. The study addresses the need to understand how age and gender factors contribute to the diagnosis of Autism Spectrum Disorders (ASD), recognizing that these factors may influence diagnostic accuracy. The primary objective of the study is to investigate the contribution of gender and age to the diagnosis of ASD by performing multiple classifications based on these factors for the first time. Additionally, the study aims to enhance the accuracy of ASD diagnosis by considering age and gender differences in the classification process.","The research idea centers on the challenge that autism cannot currently be diagnosed rapidly and definitively, nor can it be treated effectively, which motivates the exploration of new approaches to improve diagnosis. The study addresses the need to understand how age and gender factors contribute to the diagnosis of Autism Spectrum Disorders (ASD), recognizing that these factors may influence diagnostic accuracy. The primary objective of the study is to investigate the contribution of gender and age to the diagnosis of ASD by examining these factors in relation to diagnostic outcomes for the first time. Additionally, the study aims to enhance the accuracy of ASD diagnosis by considering age and gender differences in the diagnostic assessment process.",True
Psychology,Assessing ChatGPT’s Mastery of Bloom’s Taxonomy Using Psychosomatic Medicine Exam Questions: Mixed-Methods Study,"Background Large language models such as GPT-4 (Generative Pre-trained Transformer 4) are being increasingly used in medicine and medical education. However, these models are prone to “hallucinations” (ie, outputs that seem convincing while being factually incorrect). It is currently unknown how these errors by large language models relate to the different cognitive levels defined in Bloom’s taxonomy. Objective This study aims to explore how GPT-4 performs in terms of Bloom’s taxonomy using psychosomatic medicine exam questions. Methods We used a large data set of psychosomatic medicine multiple-choice questions (N=307) with real-world results derived from medical school exams. GPT-4 answered the multiple-choice questions using 2 distinct prompt versions: detailed and short. The answers were analyzed using a quantitative approach and a qualitative approach. Focusing on incorrectly answered questions, we categorized reasoning errors according to the hierarchical framework of Bloom’s taxonomy. Results GPT-4’s performance in answering exam questions yielded a high success rate: 93% (284/307) for the detailed prompt and 91% (278/307) for the short prompt. Questions answered correctly by GPT-4 had a statistically significant higher difficulty than questions answered incorrectly (P=.002 for the detailed prompt and P&lt;.001 for the short prompt). Independent of the prompt, GPT-4’s lowest exam performance was 78.9% (15/19), thereby always surpassing the “pass” threshold. Our qualitative analysis of incorrect answers, based on Bloom’s taxonomy, showed that errors were primarily in the “remember” (29/68) and “understand” (23/68) cognitive levels; specific issues arose in recalling details, understanding conceptual relationships, and adhering to standardized guidelines. Conclusions GPT-4 demonstrated a remarkable success rate when confronted with psychosomatic medicine multiple-choice exam questions, aligning with previous findings. When evaluated through Bloom’s taxonomy, our data revealed that GPT-4 occasionally ignored specific facts (remember), provided illogical reasoning (understand), or failed to apply concepts to a new situation (apply). These errors, which were confidently presented, could be attributed to inherent model biases and the tendency to generate outputs that maximize likelihood.",['GPT-4 (Generative Pre-trained Transformer 4)'],"The research idea centers on understanding the nature of errors made by a language-based system when responding to psychosomatic medicine exam questions, particularly how these errors correspond to different cognitive levels defined in Bloom’s taxonomy. There is a need to investigate the relationship between the accuracy of responses and the cognitive demands of exam questions, as well as to identify specific types of reasoning mistakes in the context of medical education. The primary objective of the study is to explore the performance of the system in answering psychosomatic medicine multiple-choice questions according to Bloom’s taxonomy, with a focus on categorizing the reasoning errors associated with incorrectly answered questions. This aims to shed light on how cognitive processes such as remembering, understanding, and applying knowledge are reflected in the errors made during exam question responses.","The research idea centers on understanding the nature of errors made by a knowledge-based system when responding to psychosomatic medicine exam questions, particularly how these errors correspond to different cognitive levels defined in Bloom's taxonomy. There is a need to investigate the relationship between the accuracy of responses and the cognitive demands of exam questions, as well as to identify specific types of reasoning mistakes in the context of medical education. The primary objective of the study is to explore the performance of the system in answering psychosomatic medicine multiple-choice questions according to Bloom's taxonomy, with a focus on categorizing the reasoning errors associated with incorrectly answered questions. This aims to shed light on how cognitive processes such as remembering, understanding, and applying knowledge are reflected in the errors made during exam question responses.",True
Psychology,An Explainable AI Paradigm for Alzheimer’s Diagnosis Using Deep Transfer Learning,"Alzheimer’s disease (AD) is a progressive neurodegenerative disorder that affects millions of individuals worldwide, causing severe cognitive decline and memory impairment. The early and accurate diagnosis of AD is crucial for effective intervention and disease management. In recent years, deep learning techniques have shown promising results in medical image analysis, including AD diagnosis from neuroimaging data. However, the lack of interpretability in deep learning models hinders their adoption in clinical settings, where explainability is essential for gaining trust and acceptance from healthcare professionals. In this study, we propose an explainable AI (XAI)-based approach for the diagnosis of Alzheimer’s disease, leveraging the power of deep transfer learning and ensemble modeling. The proposed framework aims to enhance the interpretability of deep learning models by incorporating XAI techniques, allowing clinicians to understand the decision-making process and providing valuable insights into disease diagnosis. By leveraging popular pre-trained convolutional neural networks (CNNs) such as VGG16, VGG19, DenseNet169, and DenseNet201, we conducted extensive experiments to evaluate their individual performances on a comprehensive dataset. The proposed ensembles, Ensemble-1 (VGG16 and VGG19) and Ensemble-2 (DenseNet169 and DenseNet201), demonstrated superior accuracy, precision, recall, and F1 scores compared to individual models, reaching up to 95%. In order to enhance interpretability and transparency in Alzheimer’s diagnosis, we introduced a novel model achieving an impressive accuracy of 96%. This model incorporates explainable AI techniques, including saliency maps and grad-CAM (gradient-weighted class activation mapping). The integration of these techniques not only contributes to the model’s exceptional accuracy but also provides clinicians and researchers with visual insights into the neural regions influencing the diagnosis. Our findings showcase the potential of combining deep transfer learning with explainable AI in the realm of Alzheimer’s disease diagnosis, paving the way for more interpretable and clinically relevant AI models in healthcare.","['deep learning', 'explainable AI (XAI)', 'deep transfer learning', 'ensemble modeling', 'pre-trained convolutional neural networks (CNNs)', 'VGG16', 'VGG19', 'DenseNet169', 'DenseNet201', 'saliency maps', 'grad-CAM (gradient-weighted class activation mapping)']","The research idea centers on addressing the challenge of early and accurate diagnosis of Alzheimer’s disease, a progressive neurodegenerative disorder that leads to severe cognitive decline and memory impairment. Despite advances in diagnostic approaches, there remains a critical need for methods that are not only accurate but also interpretable and transparent to gain trust and acceptance from healthcare professionals. The study highlights the importance of enhancing the explainability of diagnostic tools to support effective intervention and disease management in clinical settings. The primary objective of the study is to develop an approach that improves the interpretability of Alzheimer’s disease diagnosis, enabling clinicians to understand the decision-making process behind diagnostic outcomes. This objective aims to provide valuable insights into the neural regions influencing the diagnosis, thereby facilitating more transparent and clinically relevant assessments of the disease.","The research idea centers on addressing the challenge of early and accurate diagnosis of Alzheimer's disease, a progressive neurodegenerative disorder that leads to severe cognitive decline and memory impairment. Despite advances in diagnostic approaches, there remains a critical need for methods that are not only accurate but also interpretable and transparent to gain trust and acceptance from healthcare professionals. The study highlights the importance of enhancing the explainability of diagnostic tools to support effective intervention and disease management in clinical settings. The primary objective of the study is to develop an approach that improves the interpretability of Alzheimer's disease diagnosis, enabling clinicians to understand the reasoning process behind diagnostic outcomes. This objective aims to provide valuable insights into the neural regions influencing the diagnosis, thereby facilitating more transparent and clinically relevant assessments of the disease.",True
Psychology,REVIEWING THE TRANSFORMATIONAL IMPACT OF EDGE COMPUTING ON REAL-TIME DATA PROCESSING AND ANALYTICS,"Edge computing has emerged as a pivotal paradigm shift in the realm of data processing and analytics, revolutionizing the way organizations handle real-time data. This review presents a comprehensive review of the transformational impact of edge computing on real-time data processing and analytics. Firstly, the review delves into the fundamental concepts of edge computing, elucidating its architectural framework and highlighting its distinct advantages over traditional cloud-centric approaches. By distributing computational resources closer to data sources, edge computing mitigates latency issues and enhances responsiveness, thereby enabling real-time data processing at the edge. Furthermore, this review explores how edge computing facilitates the seamless integration of analytics capabilities into edge devices, empowering organizations to derive actionable insights at the source of data generation. Leveraging advanced analytics algorithms, such as machine learning and artificial intelligence, edge computing enables autonomous decision-making and predictive analytics in real time, fostering innovation across diverse industry verticals. Moreover, the review examines the transformative implications of edge computing on various sectors, including healthcare, manufacturing, transportation, and smart cities. By enabling localized data processing and analytics, edge computing enhances operational efficiency, ensures data privacy and security, and unlocks new opportunities for business optimization and value creation. This review underscores the profound impact of edge computing on real-time data processing and analytics, revolutionizing the way organizations harness data to drive informed decision-making and gain competitive advantage in today's dynamic business landscape. As edge computing continues to evolve, its transformative potential is poised to redefine the future of data-driven innovation and digital transformation.&#x0D; Keywords: Edge, Computing, Analytics, Data, Impact, Review.",['machine learning'],"The research idea centers on understanding the significant changes brought about by a new approach to processing information closer to the source of data generation, which addresses challenges related to delays and responsiveness in real-time data handling. This shift has important implications for various fields, including healthcare, manufacturing, transportation, and urban development, by improving efficiency, privacy, and opportunities for optimization. The primary objective of the study is to comprehensively review the impact of this approach on real-time information processing and its ability to integrate analytical capabilities directly into the environment where data is produced. The study aims to highlight how these advancements enable more immediate and informed decision-making, thereby transforming operational practices across multiple sectors.","The research idea centers on understanding the significant changes brought about by a new approach to processing information closer to the source of data generation, which addresses challenges related to delays and responsiveness in real-time data handling. This shift has important implications for various fields, including healthcare, manufacturing, transportation, and urban development, by improving efficiency, privacy, and opportunities for optimization. The primary objective of the study is to comprehensively review the impact of this approach on real-time information processing and its ability to integrate analysis capabilities directly into the environment where data is produced. The study aims to highlight how these advancements enable more immediate and informed decision-making, thereby transforming operational practices across multiple sectors.",True
Psychology,"Human-in-the-Loop Reinforcement Learning: A Survey and Position on Requirements, Challenges, and Opportunities","Artificial intelligence (AI) and especially reinforcement learning (RL) have the potential to enable agents to learn and perform tasks autonomously with superhuman performance. However, we consider RL as fundamentally a Human-in-the-Loop (HITL) paradigm, even when an agent eventually performs its task autonomously. In cases where the reward function is challenging or impossible to define, HITL approaches are considered particularly advantageous. The application of Reinforcement Learning from Human Feedback (RLHF) in systems such as ChatGPT demonstrates the effectiveness of optimizing for user experience and integrating their feedback into the training loop. In HITL RL, human input is integrated during the agent’s learning process, allowing iterative updates and fine-tuning based on human feedback, thus enhancing the agent’s performance. Since the human is an essential part of this process, we argue that human-centric approaches are the key to successful RL, a fact that has not been adequately considered in the existing literature. This paper aims to inform readers about current explainability methods in HITL RL. It also shows how the application of explainable AI (xAI) and specific improvements to existing explainability approaches can enable a better human-agent interaction in HITL RL for all types of users, whether for lay people, domain experts, or machine learning specialists. Accounting for the workflow in HITL RL and based on software and machine learning methodologies, this article identifies four phases for human involvement for creating HITL RL systems: (1) Agent Development, (2) Agent Learning, (3) Agent Evaluation, and (4) Agent Deployment. We highlight human involvement, explanation requirements, new challenges, and goals for each phase. We furthermore identify low-risk, high-return opportunities for explainability research in HITL RL and present long-term research goals to advance the field. Finally, we propose a vision of human-robot collaboration that allows both parties to reach their full potential and cooperate effectively.","['reinforcement learning (RL)', 'Reinforcement Learning from Human Feedback (RLHF)', 'explainable AI (xAI)']","The research idea centers on the importance of human involvement in learning processes where autonomous agents perform tasks, emphasizing that human-centric approaches are crucial for success but have been insufficiently addressed in existing studies. It highlights the challenge of defining reward functions and the advantage of integrating human feedback to improve task performance, underscoring the need for better understanding and support of human-agent interaction. The primary objective of the study is to inform readers about current methods that enhance explainability in human-involved learning paradigms and to demonstrate how improvements in these approaches can facilitate more effective interaction between humans and agents across different user groups. Additionally, the study aims to identify key phases of human involvement, outline explanation requirements and challenges, and propose long-term goals to advance collaboration between humans and autonomous systems.","The research idea centers on the importance of human involvement in processes where autonomous agents perform tasks, emphasizing that human-centric approaches are crucial for success but have been insufficiently addressed in existing studies. It highlights the challenge of defining reward functions and the advantage of integrating human feedback to improve task performance, underscoring the need for better understanding and support of human-agent interaction. The primary objective of the study is to inform readers about current methods that enhance explainability in human-involved paradigms and to demonstrate how improvements in these approaches can facilitate more effective interaction between humans and agents across different user groups. Additionally, the study aims to identify key phases of human involvement, outline explanation requirements and challenges, and propose long-term goals to advance collaboration between humans and autonomous systems.",True
Psychology,AlphaFold predictions of fold-switched conformations are driven by structure memorization,"Abstract Recent work suggests that AlphaFold (AF)–a deep learning-based model that can accurately infer protein structure from sequence–may discern important features of folded protein energy landscapes, defined by the diversity and frequency of different conformations in the folded state. Here, we test the limits of its predictive power on fold-switching proteins, which assume two structures with regions of distinct secondary and/or tertiary structure. We find that (1) AF is a weak predictor of fold switching and (2) some of its successes result from memorization of training-set structures rather than learned protein energetics. Combining &gt;280,000 models from several implementations of AF2 and AF3, a 35% success rate was achieved for fold switchers likely in AF’s training sets. AF2’s confidence metrics selected against models consistent with experimentally determined fold-switching structures and failed to discriminate between low and high energy conformations. Further, AF captured only one out of seven experimentally confirmed fold switchers outside of its training sets despite extensive sampling of an additional ~280,000 models. Several observations indicate that AF2 has memorized structural information during training, and AF3 misassigns coevolutionary restraints. These limitations constrain the scope of successful predictions, highlighting the need for physically based methods that readily predict multiple protein conformations.","['AlphaFold (AF)', 'AF2']","The research idea centers on understanding the challenges in accurately predicting the structural behavior of fold-switching proteins, which can adopt multiple distinct conformations. This study addresses the problem of discerning important features of protein energy landscapes, particularly the diversity and frequency of different folded states, and the limitations in current predictive approaches for these complex proteins. The research objective is to evaluate the effectiveness of existing predictive methods in identifying fold-switching proteins and to assess their ability to distinguish between different conformations based on experimentally determined structures. The study aims to highlight the constraints of current approaches and emphasize the need for methods that can reliably predict multiple protein conformations.","The research idea centers on understanding the challenges in accurately characterizing the structural behavior of fold-switching proteins, which can adopt multiple distinct conformations. This study addresses the problem of discerning important features of protein energy landscapes, particularly the diversity and frequency of different folded states, and the limitations in current analytical approaches for these complex proteins. The research objective is to evaluate the effectiveness of existing structural analysis methods in identifying fold-switching proteins and to assess their ability to distinguish between different conformations based on experimentally determined structures. The study aims to highlight the constraints of current approaches and emphasize the need for methods that can reliably identify and characterize multiple protein conformations.",True
