domain,title,abstract,verified methods list,masked extraction
Psychology,Chatbots and Large Language Models in Radiology: A Practical Primer for Clinical and Research Applications,"Although chatbots have existed for decades, the emergence of transformer-based large language models (LLMs) has captivated the world through the most recent wave of artificial intelligence chatbots, including ChatGPT. Transformers are a type of neural network architecture that enables better contextual understanding of language and efficient training on massive amounts of unlabeled data, such as unstructured text from the internet. As LLMs have increased in size, their improved performance and emergent abilities have revolutionized natural language processing. Since language is integral to human thought, applications based on LLMs have transformative potential in many industries. In fact, LLM-based chatbots have demonstrated human-level performance on many professional benchmarks, including in radiology. LLMs offer numerous clinical and research applications in radiology, several of which have been explored in the literature with encouraging results. Multimodal LLMs can simultaneously interpret text and images to generate reports, closely mimicking current diagnostic pathways in radiology. Thus, from requisition to report, LLMs have the opportunity to positively impact nearly every step of the radiology journey. Yet, these impressive models are not without limitations. This article reviews the limitations of LLMs and mitigation strategies, as well as potential uses of LLMs, including multimodal models. Also reviewed are existing LLM-based applications that can enhance efficiency in supervised settings.","['transformer-based large language models (LLMs)', 'Transformers', 'Multimodal LLMs']","The research idea centers on the transformative potential of advanced language-based technologies in understanding and processing human language, which is fundamental to human thought and communication. These technologies have shown promising applications in professional fields such as radiology, where they can mimic diagnostic processes and improve various stages of the clinical workflow. However, despite their impressive capabilities, there are notable limitations that need to be addressed to fully realize their benefits. The primary objective of the study is to review the limitations and mitigation strategies of these language-based technologies, explore their potential uses including multimodal applications, and examine existing implementations that enhance efficiency in supervised clinical settings."
Psychology,Detecting hallucinations in large language models using semantic entropy,"Abstract Large language model (LLM) systems, such as ChatGPT 1 or Gemini 2 , can show impressive reasoning and question-answering capabilities but often ‘hallucinate’ false outputs and unsubstantiated answers 3,4 . Answering unreliably or without the necessary information prevents adoption in diverse fields, with problems including fabrication of legal precedents 5 or untrue facts in news articles 6 and even posing a risk to human life in medical domains such as radiology 7 . Encouraging truthfulness through supervision or reinforcement has been only partially successful 8 . Researchers need a general method for detecting hallucinations in LLMs that works even with new and unseen questions to which humans might not know the answer. Here we develop new methods grounded in statistics, proposing entropy-based uncertainty estimators for LLMs to detect a subset of hallucinations—confabulations—which are arbitrary and incorrect generations. Our method addresses the fact that one idea can be expressed in many ways by computing uncertainty at the level of meaning rather than specific sequences of words. Our method works across datasets and tasks without a priori knowledge of the task, requires no task-specific data and robustly generalizes to new tasks not seen before. By detecting when a prompt is likely to produce a confabulation, our method helps users understand when they must take extra care with LLMs and opens up new possibilities for using LLMs that are otherwise prevented by their unreliability.",['entropy-based uncertainty estimators'],"The research idea centers on the problem of unreliable and false outputs produced by large language models, which hinder their adoption in critical fields such as law, journalism, and medicine due to the risk of fabricating untrue information. This issue of hallucination, where models generate arbitrary and incorrect content, poses significant challenges for ensuring truthfulness and safety in various applications. The study is motivated by the need for a general approach to detect these hallucinations, especially in situations involving new or unseen questions that even humans might find difficult to answer. The primary objective of the study is to develop a method that can identify when such false or confabulated responses are likely to occur, thereby helping users recognize when extra caution is necessary. This approach aims to improve the reliability of responses across different tasks and domains without requiring prior knowledge or task-specific information, ultimately facilitating safer and more trustworthy use of language-based systems."
Psychology,Comparing the quality of human and ChatGPT feedback of students’ writing,"Offering students formative feedback on their writing is an effective way to facilitate writing development. Recent advances in AI (i.e., ChatGPT) may function as an automated writing evaluation tool, increasing the amount of feedback students receive and diminishing the burden on teachers to provide frequent feedback to large classes. We examined the ability of generative AI (ChatGPT) to provide formative feedback. We compared the quality of human and AI feedback by scoring the feedback each provided on secondary student essays. We scored the degree to which feedback (a) was criteria-based, (b) provided clear directions for improvement, (c) was accurate, (d) prioritized essential features, and (e) used a supportive tone. 200 pieces of human-generated formative feedback and 200 pieces of AI-generated formative feedback for the same essays. We examined whether ChatGPT and human feedback differed in quality for the whole sample, for compositions that differed in overall quality, and for native English speakers and English learners by comparing descriptive statistics and effect sizes. Human raters were better at providing high-quality feedback to students in all categories other than criteria-based. AI and humans showed differences in feedback quality based on essay quality. Feedback did not vary by language status for humans or AI. Well-trained evaluators provided higher quality feedback than ChatGPT. Considering the ease of generating feedback through ChatGPT and its overall quality, generative AI may still be useful in some contexts, particularly in formative early drafts or instances where a well-trained educator is unavailable.",['generative AI (ChatGPT)'],"The research idea centers on the importance of providing students with formative feedback to support their writing development and the challenge teachers face in delivering frequent, high-quality feedback to large classes. The study addresses the potential role of automated tools in increasing the amount of feedback students receive while reducing the burden on educators. The primary objective of the study is to evaluate and compare the quality of formative feedback provided by humans and an automated source on secondary student essays. Specifically, the study aims to assess differences in feedback quality across various criteria, essay quality levels, and language backgrounds to determine the effectiveness and potential utility of automated feedback in educational contexts."
Psychology,Application of generative artificial intelligence (GenAI) in language teaching and learning: A scoping literature review,"This scoping literature review examines the application of Generative Artificial Intelligence (GenAI), a disruptive technology, in language teaching and learning. Since its launch in November 2022, GenAI has captured global attention with OpenAI's ChatGPT, powered by the generative pre-trained transformer-3 (GPT-3) large-language model. The emergence of GenAI holds immense implications across various domains, including language education. This review aims to provide an overview of the current state of research and identify research gaps and future directions in this emerging field. The review follows the PRISMA-ScR guidelines and includes eligible publications published between 2017 and July 2023. Four electronic databases were searched and 41 of the 224 initial papers were eventually selected for review. The findings reveal key terms related to GenAI in language education, the most researched language study and education levels, areas of research, attitudes towards GenAI, and the potential benefits and challenges of GenAI application. The review highlights several research gaps, including the need for more empirical studies to assess the effectiveness and impact of GenAI tools, discussion of ethical considerations, targeted interventions for specific language skills, and stakeholder engagement in responsible integration. Educators are encouraged to incorporate GenAI tools into their teaching practices while remaining vigilant about potential risks. Continuous professional development for educators is crucial to ensure informed decision-making and effective integration of GenAI tools. This scoping review contributes to the existing knowledge on the use of GenAI in language education and informs future research and practice in this disruptive and rapidly evolving field.",['generative pre-trained transformer-3 (GPT-3)'],"The research idea centers on the significant impact and emerging role of new technologies in language teaching and learning, highlighting the need to understand their implications within educational contexts. There is a recognized gap in empirical studies assessing the effectiveness and impact of these technologies, as well as a need to address ethical considerations and develop targeted interventions for specific language skills. The primary objective of the study is to provide an overview of the current state of research on the application of these technologies in language education, identify existing research gaps, and suggest future directions. The study aims to inform educators and researchers by highlighting key areas such as attitudes toward these tools, potential benefits and challenges, and the importance of professional development for effective and responsible integration in teaching practices."
Psychology,Can large language models replace humans in systematic reviews? Evaluating <scp>GPT</scp>‐4's efficacy in screening and extracting data from peer‐reviewed and grey literature in multiple languages,"Systematic reviews are vital for guiding practice, research and policy, although they are often slow and labour-intensive. Large language models (LLMs) could speed up and automate systematic reviews, but their performance in such tasks has yet to be comprehensively evaluated against humans, and no study has tested Generative Pre-Trained Transformer (GPT)-4, the biggest LLM so far. This pre-registered study uses a ""human-out-of-the-loop"" approach to evaluate GPT-4's capability in title/abstract screening, full-text review and data extraction across various literature types and languages. Although GPT-4 had accuracy on par with human performance in some tasks, results were skewed by chance agreement and dataset imbalance. Adjusting for these caused performance scores to drop across all stages: for data extraction, performance was moderate, and for screening, it ranged from none in highly balanced literature datasets (~1:1) to moderate in those datasets where the ratio of inclusion to exclusion in studies was imbalanced (~1:3). When screening full-text literature using highly reliable prompts, GPT-4's performance was more robust, reaching ""human-like"" levels. Although our findings indicate that, currently, substantial caution should be exercised if LLMs are being used to conduct systematic reviews, they also offer preliminary evidence that, for certain review tasks delivered under specific conditions, LLMs can rival human performance.",['Generative Pre-Trained Transformer (GPT)-4'],"The research idea centers on the importance of systematic reviews for guiding practice, research, and policy, while highlighting the challenges posed by their slow and labor-intensive nature. The study addresses the need to evaluate alternative approaches that could potentially expedite these reviews without compromising quality. The primary objective of the study is to comprehensively assess the capability of a new approach in performing key tasks involved in systematic reviews, such as screening and data extraction, across various types of literature and languages. The study aims to determine how well this approach performs compared to human reviewers and to identify the conditions under which it may achieve human-like levels of accuracy."
Psychology,Exploring AI-mediated informal digital learning of English (AI-IDLE): a mixed-method investigation of Chinese EFL learners’ AI adoption and experiences,"Recent advancements in natural language processing and large language models have ushered language learning into the age of artificial intelligence (AI). Recognizing the affordances of generative AI tools, this paper aims to examine the degree to which L2 learners accepted and leveraged large language model platforms (e.g. ChatGPT, Bing Chat) for the informal digital learning of English (IDLE) purposes. Employing an explanatory sequential mixed-method design, this study draws on the technology acceptance model (TAM) and collects data via an adapted TAM questionnaire and an interview guide. A total of 867 Chinese EFL (English as a foreign language) learners answered the online survey, while 20 attended the post-survey interviews. Drawing on a validated structural model that elucidates the inter-factor relationships of perceived ease of use, perceived usefulness, intention to use, and actual use, the quantitative analysis provides statistical accounts for EFL learners' adoption of Generative Pre-trained Transformer (GPT) technologies. The qualitative findings, derived from the interview data, reveal three key themes: (1) how perceived usefulness of chatbots for IDLE emerges from hands-on experimentation with these tools; (2) how intention to use increases as learners negotiate chatbot affordances and constraints; and (3) how actual use of chatbots for IDLE involves using these tools as tutors or conversation partners. Connections between quantitative and qualitative findings enhance our understanding of how EFL learners negotiate the affordances and constraints of highly capable AI technologies to participate in creative IDLE practices. By understanding these practices, this study draws attention to the attitudes and practices that constitute AI literacies, ultimately offering implications for future classroom practices and research.",['Generative Pre-trained Transformer (GPT)'],"The research idea centers on understanding how second language (L2) learners engage with and accept new digital tools for informal English learning outside the classroom. It addresses the motivation to explore learners’ attitudes and behaviors toward using advanced language platforms to support their English as a foreign language (EFL) development in informal settings. The study recognizes the importance of examining learners’ perceptions and actual use of these tools to better comprehend their role in language learning practices. The primary objective of the study is to investigate the extent to which Chinese EFL learners accept and utilize large language model platforms for informal digital English learning purposes. It aims to elucidate the relationships between learners’ perceived ease of use, perceived usefulness, intention to use, and actual use of these platforms, as well as to explore learners’ experiences and attitudes toward integrating these tools as part of their language learning activities."
Psychology,TRANSFORMING FINTECH FRAUD DETECTION WITH ADVANCED ARTIFICIAL INTELLIGENCE ALGORITHMS,"The rapid evolution of financial technology (fintech) platforms has exponentially increased the volume and sophistication of financial transactions, concurrently elevating the risk and complexity of fraudulent activities. This necessitates a paradigm shift in fraud detection methodologies towards more agile, accurate, and predictive solutions. This paper presents a comprehensive study on the transformative potential of advanced Artificial Intelligence (AI) algorithms in enhancing fintech fraud detection mechanisms. By leveraging cutting-edge AI techniques including deep learning, machine learning, and natural language processing, this research aims to develop a robust fraud detection framework capable of identifying, analyzing, and preventing fraudulent transactions in real-time.&#x0D; Our methodology encompasses the deployment of several AI algorithms on extensive datasets comprising genuine and fraudulent financial transactions. Through a comparative analysis, we identify the most effective algorithms in terms of accuracy, efficiency, and scalability. Key findings reveal that deep learning models, particularly those employing neural networks, outperform traditional machine learning models in detecting complex and nuanced fraudulent activities. Furthermore, the integration of natural language processing enables the extraction and analysis of unstructured data, significantly enhancing the detection capabilities.&#x0D; Conclusively, this paper underscores the critical role of advanced AI algorithms in revolutionizing fintech fraud detection. It highlights the superior performance of AI-based models over conventional methods, offering fintech platforms a more dynamic and predictive approach to fraud prevention. This research not only contributes to the academic discourse on financial security but also provides practical insights for fintech companies striving to safeguard their operations against fraud.&#x0D; Keywords: Artificial Intelligence, Fintech, Fraud Detection, Ethical Ai, Regulatory Compliance, Data Privacy, Algorithmic Bias, Predictive Analytics, Blockchain Technology, Quantum Computing, Interdisciplinary Collaboration, Innovation, Transparency, Accountability, Continuous Learning, Ethical Principles, Real-Time Processing, Financial Sector.","['deep learning', 'machine learning', 'neural networks']","The study addresses the increasing complexity and risk of fraudulent activities resulting from the rapid growth and sophistication of financial technology platforms. This escalation in fraudulent behavior creates a pressing need for more effective and agile approaches to detect and prevent fraud within financial transactions. The primary aim of the research is to explore and enhance fraud detection mechanisms in fintech by developing a robust framework capable of identifying, analyzing, and preventing fraudulent transactions in real-time. The study seeks to improve the accuracy and efficiency of fraud detection to better safeguard financial operations against increasingly complex fraudulent activities."
Psychology,Mental-LLM,"Advances in large language models (LLMs) have empowered a variety of applications. However, there is still a significant gap in research when it comes to understanding and enhancing the capabilities of LLMs in the field of mental health. In this work, we present a comprehensive evaluation of multiple LLMs on various mental health prediction tasks via online text data, including Alpaca, Alpaca-LoRA, FLAN-T5, GPT-3.5, and GPT-4. We conduct a broad range of experiments, covering zero-shot prompting, few-shot prompting, and instruction fine-tuning. The results indicate a promising yet limited performance of LLMs with zero-shot and few-shot prompt designs for mental health tasks. More importantly, our experiments show that instruction finetuning can significantly boost the performance of LLMs for all tasks simultaneously. Our best-finetuned models, Mental-Alpaca and Mental-FLAN-T5, outperform the best prompt design of GPT-3.5 (25 and 15 times bigger) by 10.9% on balanced accuracy and the best of GPT-4 (250 and 150 times bigger) by 4.8%. They further perform on par with the state-of-the-art task-specific language model. We also conduct an exploratory case study on LLMs' capability on mental health reasoning tasks, illustrating the promising capability of certain models such as GPT-4. We summarize our findings into a set of action guidelines for potential methods to enhance LLMs' capability for mental health tasks. Meanwhile, we also emphasize the important limitations before achieving deployability in real-world mental health settings, such as known racial and gender bias. We highlight the important ethical risks accompanying this line of research.","['zero-shot prompting', 'few-shot prompting', 'instruction fine-tuning']","The research idea centers on addressing the significant gap in understanding and improving the capabilities related to mental health within current approaches. Despite advances in related technologies, there remains a need to evaluate and enhance performance specifically for mental health prediction and reasoning tasks. The study is motivated by the potential to better support mental health applications while acknowledging existing limitations and ethical concerns such as bias. The primary objective of the study is to comprehensively evaluate various approaches on multiple mental health prediction tasks using online text data, aiming to identify methods that can significantly improve performance across these tasks. Additionally, the study seeks to explore the reasoning capabilities related to mental health and to provide guidelines for enhancing effectiveness while highlighting important ethical considerations before real-world deployment."
Psychology,Human-AI collaboration patterns in AI-assisted academic writing,"Artificial Intelligence (AI) has increasingly influenced higher education, notably in academic writing where AI-powered assisting tools offer both opportunities and challenges. Recently, the rapid growth of generative AI (GAI) has brought its impacts into sharper focus, yet the dynamics of its utilisation in academic writing remain largely unexplored. This paper focuses on examining the nature of human-AI interactions in academic writing, specifically investigating the strategies doctoral students employ when collaborating with a GAI-powered assisting tool. This study involves 626 recorded activities on how ten doctoral students interact with GAI-powered assisting tool during academic writing. AI-driven learning analytics approach was adopted for three layered analyses: (1) data pre-processing and analysis with quantitative content analysis, (2) sequence analysis with Hidden Markov Model (HMM) and hierarchical sequence clustering, and (3) pattern analysis with process mining. Findings indicate that doctoral students engaging in iterative, highly interactive processes with the GAI-powered assisting tool generally achieve better performance in the writing task. In contrast, those who use GAI merely as a supplementary information source, maintaining a linear writing approach, tend to get lower writing performance. This study points to the need for further investigations into human-AI collaboration in learning in higher education, with implications for tailored educational strategies and solutions.",['Hidden Markov Model (HMM)'],"The study addresses the growing influence of generative AI on academic writing in higher education, highlighting both the opportunities and challenges it presents. Despite the increasing use of AI-assisted tools, the dynamics of how doctoral students engage with these tools during academic writing remain largely unexplored. The primary aim of the study is to examine the nature of interactions between doctoral students and AI-assisted tools in academic writing, specifically investigating the strategies these students employ when collaborating with such tools. The research seeks to understand how different interaction patterns relate to writing performance, with the goal of informing tailored educational strategies in higher education."
Psychology,Recent advancements and challenges of NLP-based sentiment analysis: A state-of-the-art review,"Sentiment analysis is a method within natural language processing that evaluates and identifies the emotional tone or mood conveyed in textual data. Scrutinizing words and phrases categorizes them into positive, negative, or neutral sentiments. The significance of sentiment analysis lies in its capacity to derive valuable insights from extensive textual data, empowering businesses to grasp customer sentiments, make informed choices, and enhance their offerings. For the further advancement of sentiment analysis, gaining a deep understanding of its algorithms, applications, current performance, and challenges is imperative. Therefore, in this extensive survey, we began exploring the vast array of application domains for sentiment analysis, scrutinizing them within the context of existing research. We then delved into prevalent pre-processing techniques, datasets, and evaluation metrics to enhance comprehension. We also explored Machine Learning, Deep Learning, Large Language Models and Pre-trained models in sentiment analysis, providing insights into their advantages and drawbacks. Subsequently, we precisely reviewed the experimental results and limitations of recent state-of-the-art articles. Finally, we discussed the diverse challenges encountered in sentiment analysis and proposed future research directions to mitigate these concerns. This extensive review provides a complete understanding of sentiment analysis, covering its models, application domains, results analysis, challenges, and research directions.","['Machine Learning', 'Deep Learning']","The research idea centers on the importance of understanding the emotional tone or mood conveyed in textual data to gain valuable insights into human sentiments. This understanding is crucial for interpreting positive, negative, or neutral feelings expressed in language, which can inform decision-making and improve various applications that rely on sentiment interpretation. The study recognizes the need to thoroughly examine the current state, challenges, and applications of sentiment evaluation to advance knowledge in this area. The primary objective of the study is to provide a comprehensive review of the existing research on sentiment evaluation, including its application domains, current performance, and challenges. It aims to enhance understanding by scrutinizing relevant techniques, datasets, and evaluation criteria, as well as discussing limitations and proposing future directions to address ongoing issues in the field."
Psychology,Artificial intelligence (AI) learning tools in K-12 education: A scoping review,"Abstract Artificial intelligence (AI) literacy is a global strategic objective in education. However, little is known about how AI should be taught. In this paper, 46 studies in academic conferences and journals are reviewed to investigate pedagogical strategies, learning tools, assessment methods in AI literacy education in K-12 contexts, and students’ learning outcomes. The investigation reveals that the promotion of AI literacy education has seen significant progress in the past two decades. This highlights that intelligent agents, including Google’s Teachable Machine, Learning ML, and Machine Learning for Kids, are age-appropriate tools for AI literacy education in K-12 contexts. Kindergarten students can benefit from learning tools such as PopBots, while software devices, such as Scratch and Python, which help to develop the computational thinking of AI algorithms, can be introduced to both primary and secondary schools. The research shows that project-based, human–computer collaborative learning and play- and game-based approaches, with constructivist methodologies, have been applied frequently in AI literacy education. Cognitive, affective, and behavioral learning outcomes, course satisfaction and soft skills acquisition have been reported. The paper informs educators of appropriate learning tools, pedagogical strategies, assessment methodologies in AI literacy education, and students’ learning outcomes. Research implications and future research directions within the K-12 context are also discussed.",['Teachable Machine'],"The research idea centers on the growing importance of literacy in a specific emerging field as a global strategic objective in education, while highlighting the current lack of understanding regarding effective teaching methods for this subject in K-12 contexts. The study addresses the need to explore how educational strategies, learning tools, and assessment methods contribute to students’ learning outcomes in this area. The primary objective of the study is to investigate and review existing pedagogical strategies, learning tools, and assessment methods used in K-12 education to promote literacy in this field, as well as to examine the cognitive, affective, and behavioral learning outcomes, course satisfaction, and soft skills acquisition reported in the literature. The study aims to provide educators with informed guidance on appropriate educational approaches and to discuss implications and future directions for literacy education within the K-12 context."
Psychology,A Comprehensive Survey on Source-Free Domain Adaptation,"Over the past decade, domain adaptation has become a widely studied branch of transfer learning which aims to improve performance on target domains by leveraging knowledge from the source domain. Conventional domain adaptation methods often assume access to both source and target domain data simultaneously, which may not be feasible in real-world scenarios due to privacy and confidentiality concerns. As a result, the research of Source-Free Domain Adaptation (SFDA) has drawn growing attention in recent years, which only utilizes the source-trained model and unlabeled target data to adapt to the target domain. Despite the rapid explosion of SFDA work, there has been no timely and comprehensive survey in the field. To fill this gap, we provide a comprehensive survey of recent advances in SFDA and organize them into a unified categorization scheme based on the framework of transfer learning. Instead of presenting each approach independently, we modularize several components of each method to more clearly illustrate their relationships and mechanisms in light of the composite properties of each method. Furthermore, we compare the results of more than 30 representative SFDA methods on three popular classification benchmarks, namely Office-31, Office-home, and VisDA, to explore the effectiveness of various technical routes and the combination effects among them. Additionally, we briefly introduce the applications of SFDA and related fields. Drawing on our analysis of the challenges confronting SFDA, we offer some insights into future research directions and potential settings.","['domain adaptation', 'transfer learning', 'Source-Free Domain Adaptation (SFDA)']","The research idea centers on addressing the challenge of adapting psychological models or knowledge from one domain to another when direct access to original source data is restricted due to privacy and confidentiality concerns. This issue is significant because traditional approaches often require simultaneous access to both source and target domain information, which is not always practical in real-world psychological research or applications. The study aims to explore how adaptation can occur effectively using only previously developed knowledge and new, unlabeled data from the target domain. The primary objective of the study is to provide a comprehensive overview and categorization of recent advances in this area of adaptation, clarifying the relationships and mechanisms among different approaches. Additionally, the study seeks to evaluate the effectiveness of various strategies across multiple established benchmarks and to offer insights into future directions and potential applications within psychological contexts."
Psychology,AI-Driven Clinical Decision Support Systems: An Ongoing Pursuit of Potential,"Clinical Decision Support Systems (CDSS) are essential tools in contemporary healthcare, enhancing clinicians' decisions and patient outcomes. The integration of artificial intelligence (AI) is now revolutionizing CDSS even further. This review delves into AI technologies transforming CDSS, their applications in healthcare decision-making, associated challenges, and the potential trajectory toward fully realizing AI-CDSS's potential. The review begins by laying the groundwork with a definition of CDSS and its function within the healthcare field. It then highlights the increasingly significant role that AI is playing in enhancing CDSS effectiveness and efficiency, underlining its evolving prominence in shaping healthcare practices. It examines the integration of AI technologies into CDSS, including machine learning algorithms like neural networks and decision trees, natural language processing, and deep learning. It also addresses the challenges associated with AI integration, such as interpretability and bias. We then shift to AI applications within CDSS, with real-life examples of AI-driven diagnostics, personalized treatment recommendations, risk prediction, early intervention, and AI-assisted clinical documentation. The review emphasizes user-centered design in AI-CDSS integration, addressing usability, trust, workflow, and ethical and legal considerations. It acknowledges prevailing obstacles and suggests strategies for successful AI-CDSS adoption, highlighting the need for workflow alignment and interdisciplinary collaboration. The review concludes by summarizing key findings, underscoring AI's transformative potential in CDSS, and advocating for continued research and innovation. It emphasizes the need for collaborative efforts to realize a future where AI-powered CDSS optimizes healthcare delivery and improves patient outcomes.","['neural networks', 'decision trees', 'deep learning']","The study addresses the critical role of clinical decision support systems (CDSS) in improving healthcare delivery by enhancing clinicians' decisions and patient outcomes. It highlights the evolving challenges and opportunities in integrating advanced technologies into healthcare decision-making processes, emphasizing the importance of usability, trust, workflow alignment, and ethical considerations. The primary objective of the study is to review the current state and applications of these technologies within CDSS, identify associated challenges such as interpretability and bias, and propose strategies for successful adoption. The study aims to underscore the transformative potential of these systems in optimizing healthcare practices and improving patient outcomes through continued research and interdisciplinary collaboration."
Psychology,Integration of Generative AI Techniques and Applications in Student Behavior and Cognitive Achievement in Arab Higher Education,"The integration of Artificial Intelligence (AI) in higher education has the power to revolutionize the learning experience by fostering engagement, personalization, efficiency, and innovation. AI offers a wide range of exciting possibilities where AI-powered tools enable students to receive tailored feedback and guidance, enabling them to learn at their own pace and excel academically. This research aims to investigate the effects of generative AI techniques and applications on students' cognitive achievement through student behavior. Data was collected through surveys in three Arab countries including Oman, Jordan and Yemen. 768 students from these Arab country's universities were participated in completing surveys randomly. Structure Equation Modeling SEM-PLS was adopted to analysis data. Results reveal that generative AI techniques and applications have positive and significant effects on students' cognitive achievement in Arab higher education institutions. Results also reveal that student behavior enhances the relationship among AI techniques, applications and cognitive achievement. These results highlight the crucial role of AI applications among students in higher education while the integration of this emerging technology is still at the first stage, students' interaction with and utility of these applications show high satisfactory level of their impact on students' behavior and cognitive achievement. This research contributes to literature of generative AI applications giving evidence from Arab region and filling the gap regarding usage of these applications in higher education.",['generative AI techniques'],"The study addresses the potential impact of emerging technologies on higher education, focusing on how these tools can enhance student engagement, personalization, and academic success. It highlights the importance of understanding the relationship between student behavior and cognitive achievement within the context of higher education in Arab countries. The primary aim of the research is to investigate the effects of these technologies on students' cognitive achievement through the lens of student behavior. The study seeks to provide evidence from the Arab region regarding the influence of these applications on learning outcomes and student interaction in higher education institutions."
Psychology,Hallucination Rates and Reference Accuracy of ChatGPT and Bard for Systematic Reviews: Comparative Analysis,"Background Large language models (LLMs) have raised both interest and concern in the academic community. They offer the potential for automating literature search and synthesis for systematic reviews but raise concerns regarding their reliability, as the tendency to generate unsupported (hallucinated) content persist. Objective The aim of the study is to assess the performance of LLMs such as ChatGPT and Bard (subsequently rebranded Gemini) to produce references in the context of scientific writing. Methods The performance of ChatGPT and Bard in replicating the results of human-conducted systematic reviews was assessed. Using systematic reviews pertaining to shoulder rotator cuff pathology, these LLMs were tested by providing the same inclusion criteria and comparing the results with original systematic review references, serving as gold standards. The study used 3 key performance metrics: recall, precision, and F1-score, alongside the hallucination rate. Papers were considered “hallucinated” if any 2 of the following information were wrong: title, first author, or year of publication. Results In total, 11 systematic reviews across 4 fields yielded 33 prompts to LLMs (3 LLMs×11 reviews), with 471 references analyzed. Precision rates for GPT-3.5, GPT-4, and Bard were 9.4% (13/139), 13.4% (16/119), and 0% (0/104) respectively (P&lt;.001). Recall rates were 11.9% (13/109) for GPT-3.5 and 13.7% (15/109) for GPT-4, with Bard failing to retrieve any relevant papers (P&lt;.001). Hallucination rates stood at 39.6% (55/139) for GPT-3.5, 28.6% (34/119) for GPT-4, and 91.4% (95/104) for Bard (P&lt;.001). Further analysis of nonhallucinated papers retrieved by GPT models revealed significant differences in identifying various criteria, such as randomized studies, participant criteria, and intervention criteria. The study also noted the geographical and open-access biases in the papers retrieved by the LLMs. Conclusions Given their current performance, it is not recommended for LLMs to be deployed as the primary or exclusive tool for conducting systematic reviews. Any references generated by such models warrant thorough validation by researchers. The high occurrence of hallucinations in LLMs highlights the necessity for refining their training and functionality before confidently using them for rigorous academic purposes.","['GPT-3.5', 'GPT-4']","The research idea centers on the growing interest and concern within the academic community regarding the reliability of automated tools in supporting scientific literature synthesis, particularly for systematic reviews. There is a motivation to explore whether these tools can effectively replicate human-conducted systematic reviews without generating unsupported or inaccurate content. The study’s primary objective is to evaluate the ability of these tools to produce accurate and reliable references in the context of scientific writing, specifically assessing their performance in replicating the results of systematic reviews related to shoulder rotator cuff pathology. The aim is to determine the extent to which these tools can retrieve relevant papers accurately and to identify the prevalence of errors or hallucinated content in their outputs."
Psychology,Object detection and tracking in Precision Farming: a systematic review,"Object Detection and Tracking have gained importance in recent years because of the great advances in image and video analysis techniques and the accurate results these technologies are producing. Moreover, they have successfully been applied to multiple fields, including the agricultural domain since they offer real-time monitoring of the status of the crops and animals while counting how many are present within a field/barn. This review aims to review the current literature on Object Detection and Tracking within the field of Precision Farming. For that, over 300 research articles were explored, from which 150 articles from the last five years were systematically reviewed and analysed regarding the algorithms they implemented, the domain they belong to, the difficulties they faced, and which limitations should be tackled in the future. Lastly, it examines potential issues that this approach might have, for instance, the lack of open-source datasets with labelled data. The findings of this study indicate that Object Detection and Tracking are critical techniques to enhance Precision Farming and pave the way for robotization for the agricultural sector since they provide accurate results and insights on crop and animal management, and optimize resource allocation. Future work should focus on the optimal acquisition of the datasets prior to Object Detection and Tracking, along with the consideration of the biophysical environment of the farming scenarios.",['Object Detection'],"The research idea addresses the growing importance of accurately monitoring crops and animals in agricultural settings to improve management and resource allocation. It highlights the need for effective techniques that can provide real-time insights into the status and quantity of agricultural elements within fields or barns. The study is motivated by the challenges and limitations faced in this area, including the scarcity of comprehensive labeled datasets and the complexities of the biophysical farming environment. The primary objective of the study is to systematically review recent literature on methods used for detecting and tracking objects in precision farming, identifying the difficulties encountered and limitations that need to be addressed in future research. It aims to provide a comprehensive understanding of how these approaches contribute to enhancing agricultural practices and to suggest directions for improving data acquisition and environmental considerations in this context."
